"policyID","statecode","county","eq_site_limit","hu_site_limit"
633944,"FL","COLUMBIA COUNTY",22500,22500
963511,"FL","COLUMBIA COUNTY",0,34212.42
729649,"FL","COLUMBIA COUNTY",0,460128.2
862584,"FL","COLUMBIA COUNTY",0,32169.69
371891,"FL","COLUMBIA COUNTY",0,50550.75
785595,"FL","COLUMBIA COUNTY",42300,42300
567696,"FL","COLUMBIA COUNTY",0,10171.26
219025,"FL","COLUMBIA COUNTY",0,155342.88
447216,"FL","COLUMBIA COUNTY",0,3698.64
305141,"FL","COLUMBIA COUNTY",0,4623.3
625575,"FL","COLUMBIA COUNTY",0,33287.76
262109,"FL","COLUMBIA COUNTY",0,21267.18
228457,"FL","COLUMBIA COUNTY",0,729556.74
622799,"FL","COLUMBIA COUNTY",0,350446.14
233271,"FL","COLUMBIA COUNTY",0,2135964.6
932950,"FL","COLUMBIA COUNTY",0,4623.3
641952,"FL","COLUMBIA COUNTY",0,2469639.6
796260,"FL","COLUMBIA COUNTY",0,914073.3
301822,"FL","COLUMBIA COUNTY",0,3042940.5
559927,"FL","COLUMBIA COUNTY",0,234997.65
224400,"FL","COLUMBIA COUNTY",0,912600
123936,"FL","COLUMBIA COUNTY",0,1920744.9
333818,"FL","COLUMBIA COUNTY",0,455754.6
254323,"FL","COLUMBIA COUNTY",0,1552693.95
247444,"FL","COLUMBIA COUNTY",0,8910
882598,"FL","COLUMBIA COUNTY",0,398968.2
386918,"FL","COLUMBIA COUNTY",0,4500
497337,"FL","COLUMBIA COUNTY",0,31071.6
526844,"FL","COLUMBIA COUNTY",0,4956125.85
623400,"FL","COLUMBIA COUNTY",0,40500
826170,"FL","COLUMBIA COUNTY",0,135868.99
185483,"FL","COLUMBIA COUNTY",0,36784.23
920003,"FL","COLUMBIA COUNTY",0,1086940.9
274246,"FL","COLUMBIA COUNTY",0,16767.17
423636,"FL","COLUMBIA COUNTY",0,1404900
970906,"FL","COLUMBIA COUNTY",0,4696520.5
227898,"FL","COLUMBIA COUNTY",0,67892.48
525138,"FL","COLUMBIA COUNTY",0,86056.32
923627,"FL","COLUMBIA COUNTY",0,67892.48
619743,"FL","COLUMBIA COUNTY",0,67892.48
910727,"FL","COLUMBIA COUNTY",0,86056.32
363647,"FL","COLUMBIA COUNTY",0,67892.48
512519,"FL","COLUMBIA COUNTY",0,101009.36
904304,"FL","COLUMBIA COUNTY",0,67892.48
835349,"FL","COLUMBIA COUNTY",0,67892.48
891725,"FL","COLUMBIA COUNTY",0,86056.32
923503,"FL","COLUMBIA COUNTY",0,86056.32
292347,"FL","COLUMBIA COUNTY",0,132603.34
363828,"FL","COLUMBIA COUNTY",0,132603.34
110490,"FL","COLUMBIA COUNTY",0,91764.15
480733,"FL","COLUMBIA COUNTY",0,457854.5
993346,"FL","COLUMBIA COUNTY",0,385480.82
934992,"FL","ST  JOHNS COUNTY",0,213596.46
645841,"FL","ST  JOHNS COUNTY",0,1051338.42
747846,"FL","ST  JOHNS COUNTY",0,6472.62
482457,"FL","ST  JOHNS COUNTY",0,159041.52
574787,"FL","ST  JOHNS COUNTY",0,12945.24
831418,"FL","ST  JOHNS COUNTY",0,29589.12
968562,"FL","ST  JOHNS COUNTY",0,12945.24
576324,"FL","ST  JOHNS COUNTY",29061,29061
290435,"FL","ST  JOHNS COUNTY",48087,48087
526086,"FL","ST  JOHNS COUNTY",128628,128628
119823,"FL","ST  JOHNS COUNTY",128628,128628
497414,"FL","ST  JOHNS COUNTY",128628,128628
340883,"FL","ST  JOHNS COUNTY",4968,4968
892551,"FL","ST  JOHNS COUNTY",157005,157005
670595,"FL","ST  JOHNS COUNTY",459,459
194101,"FL","ST  JOHNS COUNTY",459,459
167200,"FL","ST  JOHNS COUNTY",1062,1062
139064,"FL","ST  JOHNS COUNTY",2304,2304
846636,"FL","ST  JOHNS COUNTY",1476,1476
310177,"FL","NASSAU COUNTY",185040,185040
865452,"FL","NASSAU COUNTY",0,11095.92
783429,"FL","NASSAU COUNTY",0,8321.94
878060,"FL","NASSAU COUNTY",0,199726.56
935342,"FL","NASSAU COUNTY",0,118356.48
456376,"FL","NASSAU COUNTY",0,17568.54
363001,"FL","NASSAU COUNTY",0,147945.6
478864,"FL","NASSAU COUNTY",0,724933.44
600402,"FL","NASSAU COUNTY",0,8284485.6
483983,"FL","NASSAU COUNTY",438498,438498
991615,"FL","NASSAU COUNTY",0,99960.9
644573,"FL","NASSAU COUNTY",0,669692.78
853278,"FL","NASSAU COUNTY",0,240539.39
100658,"FL","NASSAU COUNTY",0,331518.28
433115,"FL","NASSAU COUNTY",0,5919.86
760337,"FL","NASSAU COUNTY",0,77426.73
884738,"FL","NASSAU COUNTY",0,765763.8
610102,"FL","NASSAU COUNTY",0,7532014.45
830823,"FL","NASSAU COUNTY",0,963962.79
618364,"FL","NASSAU COUNTY",0,121066.57
712563,"FL","NASSAU COUNTY",0,70964.84
493030,"FL","NASSAU COUNTY",0,755749
188150,"FL","NASSAU COUNTY",0,2162232
589642,"FL","NASSAU COUNTY",0,615141.68
846109,"FL","NASSAU COUNTY",0,135000
399079,"FL","NASSAU COUNTY",0,161748
680135,"FL","NASSAU COUNTY",0,164484
621379,"FL","NASSAU COUNTY",0,170532
606710,"FL","NASSAU COUNTY",0,181980
443319,"FL","NASSAU COUNTY",0,181980
228591,"FL","NASSAU COUNTY",0,186012
721610,"FL","NASSAU COUNTY",0,192348
507395,"FL","NASSAU COUNTY",0,197604
213399,"FL","NASSAU COUNTY",0,198468
579400,"FL","NASSAU COUNTY",0,198612
509951,"FL","NASSAU COUNTY",0,200052
930798,"FL","NASSAU COUNTY",0,201276
729247,"FL","NASSAU COUNTY",0,207324
288344,"FL","NASSAU COUNTY",0,208836
275351,"FL","NASSAU COUNTY",0,212436
976690,"FL","NASSAU COUNTY",0,218052
507111,"FL","NASSAU COUNTY",0,218412
547458,"FL","NASSAU COUNTY",0,221076
827732,"FL","NASSAU COUNTY",0,226764
229489,"FL","NASSAU COUNTY",0,237132
175251,"FL","NASSAU COUNTY",0,239652
590043,"FL","NASSAU COUNTY",0,245052
476037,"FL","NASSAU COUNTY",0,245052
674960,"FL","NASSAU COUNTY",0,257868
743790,"FL","NASSAU COUNTY",0,6381518.4
817283,"FL","NASSAU COUNTY",0,15390000
201980,"FL","NASSAU COUNTY",235696.5,235696.5
351505,"FL","NASSAU COUNTY",18000,18000
798806,"FL","NASSAU COUNTY",1772074.8,1772074.8
153643,"FL","NASSAU COUNTY",95922,95922
683653,"FL","NASSAU COUNTY",20763,20763
475264,"FL","NASSAU COUNTY",0,16560000
912944,"FL","NASSAU COUNTY",0,582759.1
945134,"FL","NASSAU COUNTY",0,2244.53
219959,"FL","NASSAU COUNTY",0,196396.18
793504,"FL","NASSAU COUNTY",0,21500.33
450423,"FL","NASSAU COUNTY",0,74091.86
505178,"FL","NASSAU COUNTY",0,86863.23
408688,"FL","NASSAU COUNTY",0,796134.02
477759,"FL","NASSAU COUNTY",0,298522.2
882441,"FL","NASSAU COUNTY",0,23118.64
727602,"FL","NASSAU COUNTY",0,63407.91
313226,"FL","NASSAU COUNTY",0,285728.39
337027,"FL","NASSAU COUNTY",0,9016.27
649251,"FL","NASSAU COUNTY",0,80915.23
142564,"FL","NASSAU COUNTY",0,28898.3
197782,"FL","NASSAU COUNTY",0,1505741.49
709787,"FL","NASSAU COUNTY",0,53078.59
655065,"FL","NASSAU COUNTY",0,162952.72
176778,"FL","NASSAU COUNTY",0,2261249.55
559179,"FL","NASSAU COUNTY",0,1363101.75
698071,"FL","NASSAU COUNTY",0,295716.54
642950,"FL","NASSAU COUNTY",0,392231.24
477240,"FL","NASSAU COUNTY",0,192917.17
672348,"FL","NASSAU COUNTY",0,168339.59
922844,"FL","NASSAU COUNTY",0,316029.52
948580,"FL","NASSAU COUNTY",0,151505.63
364552,"FL","NASSAU COUNTY",0,280565.98
561601,"FL","NASSAU COUNTY",0,460128.2
584749,"FL","NASSAU COUNTY",0,324000
601327,"FL","COLUMBIA COUNTY",212850,212850
302578,"FL","COLUMBIA COUNTY",135000,135000
756585,"FL","COLUMBIA COUNTY",94284,94284
627591,"FL","COLUMBIA COUNTY",6300,6300
663563,"FL","COLUMBIA COUNTY",1248407.1,1248407.1
108959,"FL","COLUMBIA COUNTY",0,114170.34
951069,"FL","COLUMBIA COUNTY",0,498344.66
490641,"FL","BAKER COUNTY",0,910.22
443968,"FL","BAKER COUNTY",0,3195.34
433688,"FL","CLAY COUNTY",0,172157.99
168578,"FL","CLAY COUNTY",945000,945000
294375,"FL","CLAY COUNTY",76500,76500
902110,"FL","CLAY COUNTY",76500,76500
279816,"FL","CLAY COUNTY",431726.4,431726.4
994565,"FL","CLAY COUNTY",0,11767.98
930535,"FL","CLAY COUNTY",0,15981.99
844642,"FL","CLAY COUNTY",0,35302.09
292887,"FL","CLAY COUNTY",0,26396.15
655128,"FL","CLAY COUNTY",0,7536.5
164038,"FL","CLAY COUNTY",0,13198.07
163057,"FL","CLAY COUNTY",0,29410.75
327730,"FL","CLAY COUNTY",0,13198.07
218187,"FL","CLAY COUNTY",0,25780.36
697530,"FL","CLAY COUNTY",0,9806.65
619053,"FL","CLAY COUNTY",0,15992.1
431406,"FL","CLAY COUNTY",0,9806.65
256801,"FL","CLAY COUNTY",0,13198.07
571398,"FL","CLAY COUNTY",0,304842.43
239669,"FL","CLAY COUNTY",0,13198.07
530369,"FL","CLAY COUNTY",0,48252.01
948187,"FL","CLAY COUNTY",0,9806.65
571059,"FL","CLAY COUNTY",0,9190.86
470539,"FL","CLAY COUNTY",0,68931.45
791046,"FL","CLAY COUNTY",0,68931.45
563971,"FL","CLAY COUNTY",0,27572.58
823903,"FL","CLAY COUNTY",0,13786.29
812504,"FL","CLAY COUNTY",0,9190.86
597719,"FL","CLAY COUNTY",0,102937.63
716513,"FL","CLAY COUNTY",0,19605.94
378286,"FL","CLAY COUNTY",0,13198.07
698982,"FL","CLAY COUNTY",0,9806.65
624550,"FL","CLAY COUNTY",0,9806.65
666076,"FL","CLAY COUNTY",0,11764.3
474145,"FL","CLAY COUNTY",0,7619.22
572929,"FL","CLAY COUNTY",0,13198.07
640205,"FL","CLAY COUNTY",0,6433.6
295930,"FL","CLAY COUNTY",0,6617.42
823004,"FL","CLAY COUNTY",0,9806.65
230536,"FL","CLAY COUNTY",0,8712.94
936142,"FL","CLAY COUNTY",0,301000.66
724639,"FL","CLAY COUNTY",0,57442.87
119986,"FL","CLAY COUNTY",0,18381.72
603370,"FL","CLAY COUNTY",0,3032.98
532496,"FL","CLAY COUNTY",0,3032.98
786954,"FL","CLAY COUNTY",0,9007.04
416348,"FL","CLAY COUNTY",0,18381.72
506364,"FL","CLAY COUNTY",0,652150.86
311994,"FL","CLAY COUNTY",0,75824.59
807442,"FL","CLAY COUNTY",0,91908.6
235695,"FL","CLAY COUNTY",0,45954.3
481294,"FL","CLAY COUNTY",0,64336.02
292670,"FL","CLAY COUNTY",0,234366.92
127739,"FL","CLAY COUNTY",0,13786.29
869056,"FL","CLAY COUNTY",0,22977.15
514471,"FL","CLAY COUNTY",0,18381.72
903764,"FL","CLAY COUNTY",0,91908.6
192068,"FL","CLAY COUNTY",0,43840.4
109815,"FL","CLAY COUNTY",0,38601.61
495339,"FL","CLAY COUNTY",0,413588.69
752123,"FL","CLAY COUNTY",0,13786.29
412775,"FL","CLAY COUNTY",0,22977.15
249958,"FL","CLAY COUNTY",0,25274.86
754919,"FL","CLAY COUNTY",0,27572.58
829637,"FL","CLAY COUNTY",0,137862.9
931429,"FL","CLAY COUNTY",0,91908.6
565451,"FL","CLAY COUNTY",0,22977.15
722334,"FL","CLAY COUNTY",0,27572.58
630898,"FL","CLAY COUNTY",0,77254.74
166536,"FL","CLAY COUNTY",0,212887.5
469135,"FL","CLAY COUNTY",0,653122.95
678786,"FL","CLAY COUNTY",0,635702.59
284473,"FL","CLAY COUNTY",0,781465.69
499389,"FL","CLAY COUNTY",0,638884.47
541241,"FL","CLAY COUNTY",0,1939500
797586,"FL","CLAY COUNTY",0,6760449.39
812823,"FL","CLAY COUNTY",162366.3,162366.3
598244,"FL","CLAY COUNTY",0,648862.42
788363,"FL","CLAY COUNTY",0,240578.59
737787,"FL","CLAY COUNTY",0,13467.17
445518,"FL","CLAY COUNTY",0,19639.62
758347,"FL","CLAY COUNTY",0,604316.67
195133,"FL","CLAY COUNTY",0,171459.48
991548,"FL","CLAY COUNTY",0,822091.98
696936,"FL","CLAY COUNTY",0,85444.69
393176,"FL","CLAY COUNTY",0,26934.33
626647,"FL","CLAY COUNTY",0,162728.27
915781,"FL","CLAY COUNTY",0,589356.89
827852,"FL","CLAY COUNTY",0,13657.95
800420,"FL","CLAY COUNTY",0,64726.57
728346,"FL","CLAY COUNTY",0,2603338.04
928642,"FL","CLAY COUNTY",0,67335.83
442061,"FL","CLAY COUNTY",0,22445.28
810826,"FL","CLAY COUNTY",0,31984.52
336798,"FL","CLAY COUNTY",0,44890.56
830917,"FL","CLAY COUNTY",0,15341.35
984232,"FL","CLAY COUNTY",0,1748172.94
203667,"FL","CLAY COUNTY",0,212051.77
395084,"FL","CLAY COUNTY",0,238222.96
869242,"FL","CLAY COUNTY",0,174354.92
704537,"FL","CLAY COUNTY",0,29086.84
692691,"FL","CLAY COUNTY",0,49883.51
580758,"FL","CLAY COUNTY",0,33850.85
515486,"FL","CLAY COUNTY",0,14204.49
884079,"FL","CLAY COUNTY",0,60112.94
491095,"FL","CLAY COUNTY",0,776595.4
579764,"FL","CLAY COUNTY",0,88434.4
263177,"FL","CLAY COUNTY",0,61724.52
710739,"FL","CLAY COUNTY",0,33667.92
156129,"FL","CLAY COUNTY",0,64275.42
178800,"FL","BRADFORD COUNTY",216363.6,216363.6
406073,"FL","BRADFORD COUNTY",0,106317.27
450089,"FL","BRADFORD COUNTY",0,170207.57
894206,"FL","NASSAU COUNTY",189999.9,189999.9
472007,"FL","NASSAU COUNTY",635996.7,635996.7
500287,"FL","NASSAU COUNTY",1729530,1729530
365732,"FL","NASSAU COUNTY",0,110218.53
365145,"FL","NASSAU COUNTY",0,123995.38
237841,"FL","NASSAU COUNTY",0,13777.78
497561,"FL","NASSAU COUNTY",0,38954.52
245837,"FL","NASSAU COUNTY",0,428020.45
732075,"FL","NASSAU COUNTY",0,38954.52
657625,"FL","NASSAU COUNTY",0,3505598.5
790556,"FL","NASSAU COUNTY",0,140160.38
207626,"FL","NASSAU COUNTY",0,60397.19
902008,"FL","NASSAU COUNTY",0,1138559.14
135936,"FL","HAMILTON COUNTY",0,4623.3
997759,"FL","HAMILTON COUNTY",0,34212.42
470224,"FL","HAMILTON COUNTY",0,11095.92
367761,"FL","HAMILTON COUNTY",0,25899.23
285586,"FL","HAMILTON COUNTY",0,10211.17
122164,"FL","HAMILTON COUNTY",0,4084.47
152913,"FL","HAMILTON COUNTY",0,26920.35
655156,"FL","HAMILTON COUNTY",0,80668.21
989201,"FL","HAMILTON COUNTY",0,70642.7
207985,"FL","HAMILTON COUNTY",0,263169.6
732449,"FL","HAMILTON COUNTY",0,15873.72
665653,"FL","HAMILTON COUNTY",0,246924.56
939634,"FL","HAMILTON COUNTY",0,942304.98
981796,"FL","HAMILTON COUNTY",0,12996.03
269573,"FL","HAMILTON COUNTY",0,42886.9
602123,"FL","HAMILTON COUNTY",0,2784.86
336717,"FL","HAMILTON COUNTY",0,105764.12
238449,"FL","HAMILTON COUNTY",0,18419.71
530357,"FL","HAMILTON COUNTY",0,36836.28
896911,"FL","HAMILTON COUNTY",0,214534.66
391646,"FL","HAMILTON COUNTY",0,44199.98
710345,"FL","HAMILTON COUNTY",0,51130.14
944525,"FL","HAMILTON COUNTY",194537.7,194537.7
800878,"FL","HAMILTON COUNTY",0,28776.92
866106,"FL","HAMILTON COUNTY",0,151310.92
204794,"FL","HAMILTON COUNTY",0,179562.23
849458,"FL","HAMILTON COUNTY",0,16833.96
806471,"FL","HAMILTON COUNTY",0,24914.26
464589,"FL","HAMILTON COUNTY",0,169461.85
591943,"FL","UNION COUNTY",407520,407520
973133,"FL","UNION COUNTY",137160,137160
743965,"FL","UNION COUNTY",123300,123300
528185,"FL","UNION COUNTY",0,37823.84
219113,"FL","UNION COUNTY",0,181487.52
376803,"FL","UNION COUNTY",0,948148.79
233559,"FL","COLUMBIA COUNTY",585000,585000
579117,"FL","COLUMBIA COUNTY",82620,82620
517674,"FL","COLUMBIA COUNTY",0,61027.56
980808,"FL","COLUMBIA COUNTY",0,22500
143584,"FL","COLUMBIA COUNTY",874801.8,874801.8
489643,"FL","COLUMBIA COUNTY",504230.4,504230.4
986109,"FL","COLUMBIA COUNTY",0,67591.02
654640,"FL","COLUMBIA COUNTY",0,135763.24
700895,"FL","COLUMBIA COUNTY",702820.8,702820.8
407962,"FL","COLUMBIA COUNTY",0,129600000
494610,"FL","COLUMBIA COUNTY",0,67892.48
744305,"FL","COLUMBIA COUNTY",0,67892.48
512991,"FL","COLUMBIA COUNTY",0,102221.41
507789,"FL","COLUMBIA COUNTY",0,105926
186262,"FL","COLUMBIA COUNTY",0,4542119.64
978388,"FL","COLUMBIA COUNTY",0,191242.75
784347,"FL","COLUMBIA COUNTY",0,921352.86
679408,"FL","COLUMBIA COUNTY",0,35322.13
306619,"FL","COLUMBIA COUNTY",0,108562.2
457004,"FL","COLUMBIA COUNTY",0,26195.88
329255,"FL","COLUMBIA COUNTY",0,101204.64
900892,"FL","COLUMBIA COUNTY",0,16160.6
633241,"FL","COLUMBIA COUNTY",0,22781.96
502372,"FL","COLUMBIA COUNTY",0,114298.09
719075,"FL","COLUMBIA COUNTY",0,315302.29
920786,"FL","COLUMBIA COUNTY",0,109954.93
232605,"FL","COLUMBIA COUNTY",0,180630.62
601984,"FL","COLUMBIA COUNTY",0,124374.9
459878,"FL","COLUMBIA COUNTY",0,134464.05
565530,"FL","COLUMBIA COUNTY",0,496159.61
202651,"FL","COLUMBIA COUNTY",0,2311064.6
909104,"FL","COLUMBIA COUNTY",0,72279
872719,"FL","COLUMBIA COUNTY",0,22356.54
997611,"FL","COLUMBIA COUNTY",0,16767.17
519606,"FL","COLUMBIA COUNTY",0,16767.17
624248,"FL","COLUMBIA COUNTY",0,396814.48
783767,"FL","COLUMBIA COUNTY",0,167668.04
285479,"FL","COLUMBIA COUNTY",0,16767.17
424793,"FL","COLUMBIA COUNTY",0,16767.17
256213,"FL","COLUMBIA COUNTY",0,22356.54
155199,"FL","COLUMBIA COUNTY",0,22356.54
830871,"FL","COLUMBIA COUNTY",0,16767.17
757768,"FL","COLUMBIA COUNTY",0,16767.17
176583,"FL","COLUMBIA COUNTY",0,344852.16
678864,"FL","COLUMBIA COUNTY",0,68970.43
854000,"FL","COLUMBIA COUNTY",0,91960.58
631978,"FL","COLUMBIA COUNTY",0,25748.96
967058,"FL","COLUMBIA COUNTY",0,25105.24
878374,"FL","COLUMBIA COUNTY",0,38623.44
113053,"FL","COLUMBIA COUNTY",0,9196.06
288738,"FL","COLUMBIA COUNTY",0,9196.06
594369,"FL","COLUMBIA COUNTY",0,38623.44
706890,"FL","COLUMBIA COUNTY",0,45980.29
536032,"FL","COLUMBIA COUNTY",0,137940.86
747825,"FL","COLUMBIA COUNTY",0,27944.98
608124,"FL","COLUMBIA COUNTY",0,22356.54
934739,"FL","COLUMBIA COUNTY",0,89423.38
757078,"FL","COLUMBIA COUNTY",0,16767.17
956518,"FL","COLUMBIA COUNTY",0,12250.99
548584,"FL","COLUMBIA COUNTY",0,30686.32
132904,"FL","COLUMBIA COUNTY",0,59774.37
111857,"FL","COLUMBIA COUNTY",0,32186.2
388383,"FL","COLUMBIA COUNTY",0,11549.33
276410,"FL","BRADFORD COUNTY",2070,2070
546756,"FL","BRADFORD COUNTY",0,42481.06
669229,"FL","MADISON COUNTY",321053.4,321053.4
766573,"FL","MADISON COUNTY",132651,132651
765578,"FL","MADISON COUNTY",23400,23400
166613,"FL","MADISON COUNTY",0,0
883261,"FL","MADISON COUNTY",977330.7,977330.7
842655,"FL","MADISON COUNTY",0,1222262.42
248167,"FL","SUWANNEE COUNTY",493833.6,493833.6
976562,"FL","SUWANNEE COUNTY",305427.6,305427.6
620457,"FL","SUWANNEE COUNTY",288279,288279
336697,"FL","SUWANNEE COUNTY",0,910695.68
648295,"FL","SUWANNEE COUNTY",0,14066.75
858080,"FL","SUWANNEE COUNTY",0,7571.54
579910,"FL","SUWANNEE COUNTY",0,702715.18
735184,"FL","SUWANNEE COUNTY",0,132894.53
420445,"FL","SUWANNEE COUNTY",0,14066.75
373504,"FL","SUWANNEE COUNTY",0,113441.57
266080,"FL","SUWANNEE COUNTY",0,123449.03
178535,"FL","SUWANNEE COUNTY",0,701414.94
574531,"FL","BAKER COUNTY",67590,67590
606491,"FL","BAKER COUNTY",14670,14670
885991,"FL","BAKER COUNTY",0,1449866.88
908170,"FL","BAKER COUNTY",0,1849.32
487022,"FL","BAKER COUNTY",0,372637.98
723719,"FL","BAKER COUNTY",0,211747.14
628922,"FL","BAKER COUNTY",0,6472.62
232316,"FL","BAKER COUNTY",2476576.8,2476576.8
151933,"FL","BAKER COUNTY",0,34713.82
225577,"FL","BAKER COUNTY",0,17198.19
443296,"FL","BAKER COUNTY",0,14453.8
747464,"FL","BAKER COUNTY",0,796867.35
548566,"FL","BAKER COUNTY",0,1125.2
510281,"FL","BAKER COUNTY",0,59097.75
481334,"FL","BAKER COUNTY",0,58547.04
621142,"FL","BAKER COUNTY",0,2790.13
907206,"FL","BAKER COUNTY",0,12087.22
963412,"FL","BAKER COUNTY",0,5324.12
561805,"FL","BAKER COUNTY",0,1863.44
177053,"FL","BAKER COUNTY",0,75825.74
888564,"FL","BAKER COUNTY",0,228.7
399592,"FL","BAKER COUNTY",0,3210.02
616030,"FL","BAKER COUNTY",0,5962.65
671336,"FL","BAKER COUNTY",0,910.22
914194,"FL","BAKER COUNTY",0,910.22
632104,"FL","BAKER COUNTY",0,9660.26
895447,"FL","BAKER COUNTY",0,1585.34
969519,"FL","BAKER COUNTY",0,11880.48
149119,"FL","BAKER COUNTY",0,8370.4
804466,"FL","BAKER COUNTY",0,48183.3
688199,"FL","BAKER COUNTY",0,2706.89
977912,"FL","BAKER COUNTY",0,4665.47
312530,"FL","BAKER COUNTY",0,79587.39
154572,"FL","BAKER COUNTY",0,19210.75
299157,"FL","BAKER COUNTY",0,14453.8
358433,"FL","BAKER COUNTY",0,631.21
131991,"FL","BAKER COUNTY",0,1209270.9
844614,"FL","BAKER COUNTY",0,101097.02
735501,"FL","BAKER COUNTY",0,86949.68
703956,"FL","BAKER COUNTY",0,403517.2
547680,"FL","BAKER COUNTY",0,384.21
562722,"FL","BAKER COUNTY",0,45932.5
820860,"FL","BAKER COUNTY",0,45932.5
894562,"FL","BAKER COUNTY",0,45932.5
577091,"FL","BAKER COUNTY",0,45932.5
755818,"FL","BAKER COUNTY",0,45932.5
839723,"FL","BAKER COUNTY",0,45932.5
118899,"FL","BAKER COUNTY",0,45932.5
612231,"FL","BAKER COUNTY",0,45932.5
163526,"FL","BAKER COUNTY",0,45932.5
278995,"FL","BAKER COUNTY",0,37894.32
875706,"FL","BAKER COUNTY",0,126314.39
712263,"FL","BAKER COUNTY",0,114440.68
241888,"FL","BAKER COUNTY",0,292819.71
115934,"FL","BAKER COUNTY",0,918650.08
214979,"FL","BAKER COUNTY",0,172246.89
601369,"FL","BAKER COUNTY",0,459325.04
859735,"FL","BAKER COUNTY",0,28707.81
868972,"FL","BAKER COUNTY",0,38468.47
369631,"FL","BAKER COUNTY",0,10396.08
130797,"FL","SUWANNEE COUNTY",2348172,2348172
770857,"FL","SUWANNEE COUNTY",0,43459.02
834275,"FL","SUWANNEE COUNTY",0,12020.58
102432,"FL","SUWANNEE COUNTY",63396,63396
